Date,Open,High,Low,Close,DXY_Change,Open,High,Low,Close,USDJPY_Change
01/01/2017,102.379997,103.82,101.300003,102.220001,-0.16,116.889999,118.593002,115.263,116.919998,0.026
08/01/2017,102.260002,102.949997,100.720001,101.18,-1.06,116.919998,117.524002,113.760002,114.570999,-2.009
15/01/2017,101.660004,101.730003,100.279999,100.739998,-0.90,114.570999,115.521004,112.644997,114.528999,-0.037
22/01/2017,100.720001,100.82,99.790001,100.529999,-0.19,114.528999,115.335999,112.580002,115.059998,0.464
29/01/2017,100.349998,101.019997,99.230003,99.870003,-0.48,115.059998,115.070999,112.077003,112.690002,-2.060
05/02/2017,99.620003,101.010002,99.620003,100.800003,1.18,112.568001,113.839996,111.598999,113.18,0.544
12/02/2017,100.849998,101.760002,100.410004,100.949997,0.10,113.212997,114.941002,112.628998,112.860001,-0.312
19/02/2017,100.940002,101.720001,100.660004,101.089996,0.15,112.860001,113.753998,112.064003,112.184998,-0.598
26/02/2017,101.080002,102.260002,100.690002,101.540001,0.46,112.184998,114.536003,111.783501,114,1.618
05/03/2017,101.440002,102.25,101.169998,101.25,-0.19,114.010002,115.487999,113.560501,115.149002,0.999
12/03/2017,101.279999,101.790001,100.139999,100.300003,-0.97,114.75,115.176003,112.551498,112.709999,-1.778
19/03/2017,100.339996,100.449997,99.529999,99.629997,-0.71,112.709999,112.884003,110.632004,111.337997,-1.217
26/03/2017,99.43,100.650002,98.860001,100.349998,0.93,111.337997,112.181,110.121002,111.358574,0.018
02/04/2017,100.5,101.260002,100.370003,101.18,0.68,111.370003,111.573997,110.152,111.059998,-0.278
09/04/2017,101.129997,101.339996,100.010002,100.559998,-0.56,111.168999,111.571999,108.563004,108.635002,-2.279
16/04/2017,100.470001,100.470001,99.370003,99.980003,-0.49,108.635002,109.411003,108.141998,109.170303,0.493
23/04/2017,98.790001,99.330002,98.699997,99.050003,0.26,109.07,111.723999,109.07,111.529999,2.255
30/04/2017,98.93,99.459999,98.540001,98.650002,-0.28,111.529999,113.038002,111.209999,112.739571,1.085
07/05/2017,98.5,99.889999,98.5,99.25,0.76,113.055,114.335999,112.403,113.378685,0.286
