Open,High,Low,Close,Date,Ret
120.523999,120.523999,120.523999,120.523999,10/01/1971,
120.4740005,120.4740005,120.4740005,120.4740005,17/01/1971,-0.041484248
120.3520004,120.3520004,120.3520004,120.3520004,24/01/1971,-0.101266764
120.2539993,120.2539993,120.2539993,120.2539993,31/01/1971,-0.081428724
120.2559998,120.2559998,120.2559998,120.2559998,07/02/1971,0.001663502
120.2700005,120.2700005,120.2700005,120.2700005,14/02/1971,0.011642414
120.2049999,120.2049999,120.2049999,120.2049999,21/02/1971,-0.054045509
120.1800003,120.1800003,120.1800003,120.1800003,28/02/1971,-0.020797486
120.2039993,120.2039993,120.2039993,120.2039993,07/03/1971,0.019969232
120.15,120.15,120.15,120.15,14/03/1971,-0.044923072
120.1800018,120.1800018,120.1800018,120.1800018,21/03/1971,0.024970313
120.1699997,120.1699997,120.1699997,120.1699997,28/03/1971,-0.008322629
120.1779999,120.1779999,120.1779999,120.1779999,04/04/1971,0.006657388
120.1925011,120.1925011,120.1925011,120.1925011,11/04/1971,0.012066427
120.2560013,120.2560013,120.2560013,120.2560013,18/04/1971,0.052832093
120.2580002,120.2580002,120.2580002,120.2580002,25/04/1971,0.001662205
120.2139999,120.2139999,120.2139999,120.2139999,02/05/1971,-0.036588205
119.8080017,119.8080017,119.8080017,119.8080017,09/05/1971,-0.337729574
119.3499985,119.3499985,119.3499985,119.3499985,16/05/1971,-0.382281007
119.1479996,119.1479996,119.1479996,119.1479996,23/05/1971,-0.169249186
119.2700012,119.2700012,119.2700012,119.2700012,30/05/1971,0.102395045
119.4449997,119.4449997,119.4449997,119.4449997,06/06/1971,0.146724635
119.2300003,119.2300003,119.2300003,119.2300003,13/06/1971,-0.179998652
119.3099991,119.3099991,119.3099991,119.3099991,20/06/1971,0.067096183
119.2320007,119.2320007,119.2320007,119.2320007,27/06/1971,-0.065374531
119.1900009,119.1900009,119.1900009,119.1900009,04/07/1971,-0.035225289
119.1849995,119.1849995,119.1849995,119.1849995,11/07/1971,-0.004196199
119.062001,119.062001,119.062001,119.062001,18/07/1971,-0.103199588
118.8460007,118.8460007,118.8460007,118.8460007,25/07/1971,-0.181418391
118.7980011,118.7980011,118.7980011,118.7980011,01/08/1971,-0.040388042
118.6660004,118.6660004,118.6660004,118.6660004,08/08/1971,-0.111113597
117.9659988,117.9659988,117.9659988,117.9659988,15/08/1971,-0.589892238
117.8399963,117.8399963,117.8399963,117.8399963,22/08/1971,-0.106812559
117.8399963,117.8399963,117.8399963,117.8399963,29/08/1971,0
116.723999,116.723999,116.723999,116.723999,05/09/1971,-0.947044594
116.3874989,116.3874989,116.3874989,116.3874989,12/09/1971,-0.288287045
116.0220001,116.0220001,116.0220001,116.0220001,19/09/1971,-0.314036075
115.297998,115.297998,115.297998,115.297998,26/09/1971,-0.62402137
114.9519989,114.9519989,114.9519989,114.9519989,03/10/1971,-0.3000912
114.7639984,114.7639984,114.7639984,114.7639984,10/10/1971,-0.16354695
114.7800007,114.7800007,114.7800007,114.7800007,17/10/1971,0.013943635
114.6200012,114.6200012,114.6200012,114.6200012,24/10/1971,-0.139396641
114.6049995,114.6049995,114.6049995,114.6049995,31/10/1971,-0.013088186
114.625,114.625,114.625,114.625,07/11/1971,0.017451645
114.6339996,114.6339996,114.6339996,114.6339996,14/11/1971,0.007851371
114.5140015,114.5140015,114.5140015,114.5140015,21/11/1971,-0.104679388
