Date,Open,High,Low,Close,Ret
01/01/2000,101.669998,101.830002,99.709999,100.800003,0
08/01/2000,100.699997,101.970001,100.239998,101.720001,0.912696401
15/01/2000,101.809998,102.110001,101.120003,101.760002,0.039324616
22/01/2000,102.230003,104.739998,101.839996,104.480003,2.672956905
29/01/2000,104.449997,105.360001,103.419998,104.290001,-0.181854895
05/02/2000,104.300003,104.910004,103.360001,104.190002,-0.095885511
12/02/2000,104.199997,105.080002,103.669998,104.629997,0.422300597
19/02/2000,104.389999,105.5,102.919998,105.260002,0.602126558
26/02/2000,105.279999,106.860001,104.589996,106,0.703019177
04/03/2000,106.209999,106.610001,105.220001,105.709999,-0.273585849
11/03/2000,105.760002,105.889999,104.839996,105.199997,-0.482453888
18/03/2000,105.32,106.339996,104.650002,104.769997,-0.408745259
25/03/2000,104.669998,106.519997,104.480003,105.440002,0.63950083
01/04/2000,105.610001,106.18,104.230003,105.970001,0.502654581
08/04/2000,106.080002,106.419998,105.480003,105.75,-0.207606868
15/04/2000,105.300003,107.550003,104.959999,107.449997,1.607562175
22/04/2000,107.080002,110.32,106.779999,110.139999,2.503491927
29/04/2000,109.900002,112.230003,109.510002,111.309998,1.062283467
06/05/2000,111.309998,111.860001,109.800003,109.900002,-1.266728978
13/05/2000,109.910004,112.860001,109.809998,111.470001,1.428570493
20/05/2000,111.480003,111.970001,109,109.120003,-2.108188731
27/05/2000,109.029999,109.519997,107.400002,108.120003,-0.916422262
03/06/2000,107.809998,108.040001,105.559998,106.989998,-1.045139631
10/06/2000,107.059998,107.370003,105.919998,105.959999,-0.962705878
17/06/2000,106,108.199997,105.589996,108.010002,1.934695186
24/06/2000,108.059998,108.639999,106.370003,106.839996,-1.083238569
01/07/2000,106.82,107.690002,106.699997,107.650002,0.758148662
08/07/2000,107.529999,108.93,106.779999,108.449997,0.743144436
15/07/2000,108.32,109.919998,108.290001,108.419998,-0.027661596
22/07/2000,108.510002,109.870003,107.830002,109.739998,1.217487571
29/07/2000,109.760002,111.650002,109.349998,110.849998,1.011481702
05/08/2000,110.849998,111.709999,110.290001,111.209999,0.324764101
12/08/2000,111.209999,111.589996,110.099998,111.010002,-0.179837246
