date,Percent Change,Security
01/01/2000,0.45,US10Y
01/08/2000,2.21,US10Y
01/15/2000,1.53,US10Y
01/22/2000,1.64,US10Y
01/29/2000,-1.20,US10Y
02/05/2000,-1.50,US10Y
02/12/2000,0.52,US10Y
02/19/2000,-1.03,US10Y
02/26/2000,-2.60,US10Y
03/04/2000,0.22,US10Y
03/11/2000,-0.13,US10Y
03/18/2000,-1.60,US10Y
03/25/2000,-2.23,US10Y
04/01/2000,-0.23,US10Y
04/08/2000,-3.46,US10Y
04/15/2000,-0.47,US10Y
04/22/2000,2.04,US10Y
04/29/2000,2.30,US10Y
05/06/2000,4.03,US10Y
05/13/2000,1.66,US10Y
05/20/2000,-0.18,US10Y
05/27/2000,-1.14,US10Y
06/03/2000,-2.51,US10Y
06/10/2000,-2.00,US10Y
06/17/2000,-1.14,US10Y
06/24/2000,0.50,US10Y
07/01/2000,-0.20,US10Y
07/08/2000,-1.08,US10Y
07/15/2000,0.79,US10Y
07/22/2000,0.69,US10Y
07/29/2000,-1.08,US10Y
08/05/2000,-0.99,US10Y
08/12/2000,-2.07,US10Y
08/19/2000,-0.85,US10Y
08/26/2000,-0.86,US10Y
09/02/2000,0.17,US10Y
09/09/2000,-0.64,US10Y
09/16/2000,1.03,US10Y
09/23/2000,1.59,US10Y
09/30/2000,-0.95,US10Y
10/07/2000,0.65,US10Y
10/14/2000,-1.72,US10Y
10/21/2000,-1.42,US10Y
10/28/2000,-0.28,US10Y
11/04/2000,1.84,US10Y
11/11/2000,1.49,US10Y
11/18/2000,-2.09,US10Y
11/25/2000,-1.36,US10Y
12/02/2000,-1.66,US10Y
12/09/2000,-2.99,US10Y
12/16/2000,-1.86,US10Y
12/23/2000,-3.63,US10Y
12/30/2000,0.04,US10Y
01/06/2001,-1.86,US10Y
01/13/2001,1.54,US10Y
01/20/2001,2.03,US10Y
01/27/2001,2.06,US10Y
02/03/2001,-1.66,US10Y
02/10/2001,-1.50,US10Y
02/17/2001,-0.31,US10Y
02/24/2001,0.29,US10Y
03/03/2001,-3.41,US10Y
03/10/2001,-0.08,US10Y
03/17/2001,-1.74,US10Y
03/24/2001,-1.65,US10Y
03/31/2001,3.47,US10Y
04/07/2001,0.00,US10Y
04/14/2001,2.66,US10Y
04/21/2001,3.16,US10Y
04/28/2001,0.19,US10Y
05/05/2001,0.57,US10Y
05/12/2001,0.30,US10Y
05/19/2001,3.17,US10Y
05/26/2001,-0.11,US10Y
06/02/2001,0.35,US10Y
06/09/2001,-2.76,US10Y
06/16/2001,-0.83,US10Y
06/23/2001,-1.02,US10Y
06/30/2001,1.15,US10Y
07/07/2001,2.30,US10Y
07/14/2001,-1.84,US10Y
07/21/2001,-2.68,US10Y
07/28/2001,-0.19,US10Y
08/04/2001,-0.47,US10Y
08/11/2001,-0.97,US10Y
08/18/2001,-2.68,US10Y
08/25/2001,-0.89,US10Y
09/01/2001,-1.22,US10Y
09/08/2001,1.30,US10Y
09/15/2001,-4.52,US10Y
09/22/2001,0.31,US10Y
09/29/2001,-0.89,US10Y
10/06/2001,-2.79,US10Y
10/13/2001,2.74,US10Y
10/20/2001,-1.03,US10Y
10/27/2001,-0.09,US10Y
11/03/2001,-4.96,US10Y
11/10/2001,-1.65,US10Y
