Security ,date,Return 
DXY,24/09/2002,-0.92
DXY,01/10/2002,0.64
DXY,08/10/2002,-0.37
DXY,15/10/2002,1.01
DXY,22/10/2002,-0.99
DXY,29/10/2002,-0.97
DXY,05/11/2002,-1.46
DXY,12/11/2002,0.6
DXY,19/11/2002,1.27
DXY,26/11/2002,-0.18
DXY,03/12/2002,-1.04
DXY,10/12/2002,-1.12
DXY,17/12/2002,-0.4
DXY,24/12/2002,-1.57
DXY,31/12/2002,-0.04
DXY,07/01/2003,-0.49
DXY,14/01/2003,-0.91
DXY,21/01/2003,-1.28
DXY,28/01/2003,0.64
DXY,04/02/2003,0.37
DXY,11/02/2003,-0.23
DXY,18/02/2003,-0.38
DXY,25/02/2003,-0.56
DXY,04/03/2003,-1.26
DXY,11/03/2003,2.95
DXY,18/03/2003,0.24
DXY,25/03/2003,-1.9
DXY,01/04/2003,2
DXY,08/04/2003,-1.07
DXY,15/04/2003,-0.37
DXY,22/04/2003,-0.92
DXY,29/04/2003,-2.33
DXY,06/05/2003,-1.89
DXY,13/05/2003,-0.81
DXY,20/05/2003,-0.78
DXY,27/05/2003,0.31
DXY,03/06/2003,-0.04
DXY,10/06/2003,-0.96
DXY,17/06/2003,1.82
DXY,24/06/2003,0.69
DXY,01/07/2003,0.82
DXY,08/07/2003,0.59
DXY,15/07/2003,0.04
DXY,22/07/2003,-1.09
DXY,29/07/2003,1.18
DXY,05/08/2003,-0.32
DXY,12/08/2003,1.54
DXY,19/08/2003,1.52
DXY,26/08/2003,-0.84
DXY,02/09/2003,-0.86
DXY,09/09/2003,-1.21
DXY,16/09/2003,-2.22
DXY,23/09/2003,-0.82
DXY,30/09/2003,-0.72
DXY,07/10/2003,-0.56
DXY,14/10/2003,0.59
DXY,21/10/2003,-0.89
DXY,28/10/2003,2.24
DXY,04/11/2003,-0.65
DXY,11/11/2003,-1.63
DXY,18/11/2003,0.07
DXY,25/11/2003,-1.35
DXY,02/12/2003,-1.77
DXY,09/12/2003,-0.33
DXY,16/12/2003,-0.53
DXY,23/12/2003,-0.73
DXY,30/12/2003,-1.47
DXY,06/01/2004,-0.6
