date,US10Y Percent Change
03/12/1984,0.73944
10/12/1984,1.38064
17/12/1984,-0.25858
24/12/1984,-2.09125
31/12/1984,1.30185
07/01/1985,1.26334
14/01/1985,-0.89912
21/01/1985,-0.43844
28/01/1985,-2.75125
04/02/1985,0.43042
11/02/1985,1.60714
18/02/1985,-0.23433
25/02/1985,2.2431
04/03/1985,2.18815
11/03/1985,-0.26977
18/03/1985,0.67625
25/03/1985,-0.15113
01/04/1985,-1.32862
08/04/1985,0.02983
15/04/1985,-2.09159
22/04/1985,-2.61051
29/04/1985,1.3045
06/05/1985,-0.56447
13/05/1985,-1.17084
20/05/1985,-3.12332
27/05/1985,-1.72781
03/06/1985,-2.69149
10/06/1985,-2.88704
17/06/1985,0.55866
24/06/1985,0.93254
01/07/1985,1.9658
08/07/1985,-2.61712
15/07/1985,0.54937
22/07/1985,1.14196
29/07/1985,2.70586
05/08/1985,0.53071
12/08/1985,-1.24434
19/08/1985,-1.3173
26/08/1985,-1.83788
02/09/1985,0.21679
09/09/1985,1.59292
16/09/1985,1.20015
23/09/1985,-0.49732
30/09/1985,-1.16782
07/10/1985,0.53975
14/10/1985,0.16444
21/10/1985,-1.2844
28/10/1985,-0.41088
04/11/1985,-1.66994
11/11/1985,-1.07393
18/11/1985,-1.03509
25/11/1985,-1.28571
02/12/1985,-0.24809
09/12/1985,-0.37306
16/12/1985,-3.89016
23/12/1985,-1.79654
30/12/1985,-0.51245
06/01/1986,0.13847
13/01/1986,2.25664
20/01/1986,0.82215
27/01/1986,-1.09442
03/02/1986,-1.62725
10/02/1986,-0.5955
17/02/1986,-1.9026
24/02/1986,-3.01385
03/03/1986,-4.31437
10/03/1986,-2.97343
17/03/1986,-2.9892
24/03/1986,0.80269
31/03/1986,-2.96686
07/04/1986,-2.07809
14/04/1986,-1.8924
21/04/1986,-2.56269
28/04/1986,5.14706
05/05/1986,-0.0269
12/05/1986,0.72639
19/05/1986,4.30021
26/05/1986,0.83227
02/06/1986,1.13016
09/06/1986,2.888
16/06/1986,-3.78326
23/06/1986,-3.50076
30/06/1986,-2.62881
07/07/1986,-0.91793
14/07/1986,-0.24523
21/07/1986,-2.10325
28/07/1986,2.39955
04/08/1986,0.35422
11/08/1986,0.08146
18/08/1986,-2.82149
25/08/1986,-1.98213
01/09/1986,-0.2421
08/09/1986,3.01213
15/09/1986,3.74169
22/09/1986,1.25568
29/09/1986,-0.94987
06/10/1986,-1.70485
13/10/1986,-0.81301
20/10/1986,3.1694
27/10/1986,-1.00636
03/11/1986,-1.55163
10/11/1986,-0.40761
17/11/1986,-0.44338
24/11/1986,-1.52792
01/12/1986,-0.3966
08/12/1986,-1.16661
15/12/1986,0.42409
22/12/1986,0.08446
29/12/1986,-0.14065
05/01/1987,1.12676
12/01/1987,-1.8663
19/01/1987,0.48254
