date,DXY Return (%),US10Y Percent Change
14/10/2003,0.59,4.47
21/10/2003,-0.89,2.49
28/10/2003,2.24,-3.17
04/11/2003,-0.65,1.54
11/11/2003,-1.63,2.39
18/11/2003,0.07,-4.22
25/11/2003,-1.35,-1.60
02/12/2003,-1.77,3.54
09/12/2003,-0.33,-0.38
16/12/2003,-0.53,-1.29
23/12/2003,-0.73,-1.83
30/12/2003,-1.47,0.79
06/01/2004,-0.6,2.66
13/01/2004,2.47,-4.05
20/01/2004,-0.47,-3.17
27/01/2004,0.32,1.24
03/02/2004,-1.75,2.50
10/02/2004,-0.62,-1.05
17/02/2004,1.84,-1.82
24/02/2004,0.55,-0.11
02/03/2004,0.55,-0.89
09/03/2004,0.92,-3.18
16/03/2004,-1.13,-3.75
23/03/2004,0.93,0.00
30/03/2004,0.67,2.19
06/04/2004,-0.3,6.27
13/04/2004,0.96,4.42
20/04/2004,0.91,3.58
27/04/2004,0.15,0.95
04/05/2004,0.88,2.03
11/05/2004,-0.61,4.23
18/05/2004,-0.57,1.18
25/05/2004,-1.69,-0.67
01/06/2004,-0.79,-1.89
08/06/2004,1.92,2.10
15/06/2004,-0.72,0.94
22/06/2004,-0.64,-1.76
29/06/2004,-0.55,-0.42
06/07/2004,-0.95,-3.36
13/07/2004,-0.24,-1.15
20/07/2004,2.12,-0.94
27/07/2004,0.81,1.39
03/08/2004,-1.52,0.44
10/08/2004,-0.49,-4.06
17/08/2004,1.25,-2.12
24/08/2004,0.71,-0.05
31/08/2004,-0.18,-1.04
07/09/2004,-1.09,0.39
14/09/2004,0.5,-1.01
21/09/2004,-0.79,-1.82
28/09/2004,0.1,-2.10
05/10/2004,-0.95,3.63
12/10/2004,-0.59,0.62
19/10/2004,-2.36,-2.96
26/10/2004,0.27,-1.52
02/11/2004,-1.3,2.20
09/11/2004,-0.11,1.86
16/11/2004,-0.96,1.13
23/11/2004,-1.51,-1.16
30/11/2004,-0.79,2.86
07/12/2004,1.01,0.44
14/12/2004,-0.52,-3.39
21/12/2004,-1.16,0.43
28/12/2004,0.72,2.07
04/01/2005,2.45,0.22
11/01/2005,-0.28,0.28
18/01/2005,0.22,-1.44
25/01/2005,0.43,-1.15
01/02/2005,1.72,0.05
08/02/2005,-1.27,-1.63
15/02/2005,-0.49,-0.93
22/02/2005,-1.24,3.87
01/03/2005,0.34,2.05
08/03/2005,-0.99,0.97
15/03/2005,1.11,3.86
22/03/2005,2.1,0.18
29/03/2005,0.19,1.78
05/04/2005,-0.73,-2.57
12/04/2005,-0.19,-0.93
19/04/2005,-0.21,-3.41
26/04/2005,0.8,-0.74
03/05/2005,0.18,-1.27
10/05/2005,1.75,0.57
17/05/2005,0.33,-2.03
24/05/2005,0.02,-1.64
31/05/2005,1.37,-0.59
07/06/2005,1.54,-3.15
14/06/2005,-0.52,2.75
21/06/2005,-0.05,1.34
28/06/2005,2.24,-3.76
05/07/2005,-1.07,2.16
12/07/2005,0.2,1.86
19/07/2005,-0.04,2.24
26/07/2005,-0.89,1.00
02/08/2005,-0.99,1.13
09/08/2005,-0.68,2.06
16/08/2005,0.94,-1.78
23/08/2005,0.12,-1.58
30/08/2005,-2.21,-0.90
06/09/2005,1.63,-3.49
13/09/2005,0.83,2.77
20/09/2005,0.76,1.93
27/09/2005,1.14,0.33
04/10/2005,-0.74,2.03
11/10/2005,0.38,0.82
18/10/2005,0.35,2.58
25/10/2005,-0.04,-0.40
01/11/2005,1.35,2.64
08/11/2005,0.92,1.05
15/11/2005,-0.11,-0.82
22/11/2005,-1.14,-2.66
29/11/2005,0.55,-0.46
06/12/2005,-1.24,1.59
13/12/2005,-0.53,0.18
20/12/2005,1.08,-1.50
27/12/2005,0.36,-1.02
03/01/2006,-2.11,-0.79
10/01/2006,-0.4,0.10
17/01/2006,-1.06,0.30
24/01/2006,1.67,-0.57
31/01/2006,0.97,3.48
07/02/2006,0.28,0.84
14/02/2006,0.11,0.39
21/02/2006,-0.01,-0.01
28/02/2006,-0.82,-0.34
07/03/2006,0.72,2.54
14/03/2006,-1.56,1.37
21/03/2006,1.05,-1.18
28/03/2006,-0.49,0.68
04/04/2006,0.1,2.92
11/04/2006,-1.2,1.36
18/04/2006,-1.34,1.74
25/04/2006,-1.69,0.45
02/05/2006,-0.86,1.55
09/05/2006,-0.81,0.55
16/05/2006,-0.22,0.12
23/05/2006,1.08,-1.21
30/05/2006,-1.31,-0.34
06/06/2006,2.03,-0.21
13/06/2006,0.54,-1.19
20/06/2006,0.21,2.44
27/06/2006,-1.51,1.88
04/07/2006,0.38,-0.34
11/07/2006,1.71,-0.66
18/07/2006,-0.71,-1.32
25/07/2006,-1.2,-0.75
01/08/2006,-0.64,-0.67
08/08/2006,1.05,-1.59
15/08/2006,-1.18,0.24
22/08/2006,0.71,-2.14
29/08/2006,-0.34,-0.87
05/09/2006,1.15,-1.03
12/09/2006,-0.13,0.83
19/09/2006,-0.61,-0.21
26/09/2006,0.35,-3.26
03/10/2006,1.09,-0.09
10/10/2006,0.55,0.77
17/10/2006,-0.33,2.84
24/10/2006,-1.29,0.25
31/10/2006,0.19,-2.21
07/11/2006,-0.45,-0.94
14/11/2006,0.07,-0.99
21/11/2006,-2.24,0.13
28/11/2006,-1.22,-1.51
05/12/2006,0.76,-1.86
12/12/2006,1.03,1.12
19/12/2006,-0.05,1.95
26/12/2006,-0.26,0.03
02/01/2007,1.05,1.96
09/01/2007,0.51,-0.76
16/01/2007,-0.01,1.84
23/01/2007,0.09,0.85
30/01/2007,-0.02,1.88
06/02/2007,0.08,-1.07
13/02/2007,-1.24,-0.83
20/02/2007,-0.19,-1.54
27/02/2007,0.26,-1.20
06/03/2007,-0.34,-2.37
13/03/2007,-0.56,-0.09
20/03/2007,-0.37,0.44
27/03/2007,-0.25,0.92
03/04/2007,0.28,1.13
10/04/2007,-1.24,1.51
17/04/2007,-0.4,0.38
24/04/2007,-0.35,-1.52
01/05/2007,0.28,0.09
08/05/2007,0.48,-0.34
15/05/2007,0.35,0.60
22/05/2007,-0.04,2.18
29/05/2007,-0.33,1.78
05/06/2007,0.79,1.29
12/06/2007,0,3.90
19/06/2007,-0.47,0.90
26/06/2007,-1.13,-0.77
03/07/2007,0.05,-1.33
10/07/2007,-1.12,1.52
17/07/2007,-0.21,-0.84
24/07/2007,0.62,-2.08
31/07/2007,-0.74,-3.29
07/08/2007,1,-1.58
14/08/2007,0.43,0.93
21/08/2007,-0.81,-3.09
28/08/2007,0.06,-0.86
04/09/2007,-1.2,-1.24
11/09/2007,-0.13,-2.84
18/09/2007,-1.49,1.22
25/09/2007,-0.8,3.45
02/10/2007,0.99,-0.95
09/10/2007,-0.74,0.49
16/10/2007,-0.04,1.51
23/10/2007,-1.56,-4.41
30/10/2007,-0.53,-1.79
06/11/2007,-0.69,-0.23
13/11/2007,-0.16,-2.25
20/11/2007,-1.21,-3.07
27/11/2007,1.43,-4.79
04/12/2007,0.17,-0.09
11/12/2007,1.76,2.38
18/12/2007,0.22,3.07
25/12/2007,-1.12,-0.83
01/01/2008,-0.69,0.91
08/01/2008,-0.74,-6.75
15/01/2008,1.67,-1.75
22/01/2008,-1.68,-4.48
29/01/2008,-0.28,-0.69
05/02/2008,1.61,1.44
12/02/2008,-0.63,-0.49
19/02/2008,-0.75,4.00
